date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:45	1130/1130	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/event/lgbtq-book-club/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/lgbtq-book-club/indexedf3.html	(from http://encompass.red-gate.com/event/lgbtq-book-club/)
15:00:45	2605/2605	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1353	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1353.json	(from http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/)
15:00:45	956/956	---M-Z	200	added ('OK')	application/rss+xml	etag:%2263c435d5a86c1d9680da44c2907ca297-gzip%22	http://encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/feed/index.html	(from http://encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/)
15:00:45	815/815	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/indexedf3.html	(from http://encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/)
15:00:45	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/?p=1308	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/index58d1.html	(from http://encompass.red-gate.com/event/quizzes-shorts-lgbtq-history-month-quiz-night-2/)
15:00:45	2350/2350	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Flgbtq-quiz-night-social%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embed6f4d.json	(from http://encompass.red-gate.com/event/lgbtq-quiz-night-social/)
15:00:46	999/999	---M-Z	200	added ('OK')	application/rss+xml	etag:%2263c435d5a86c1d9680da44c2907ca297-gzip%22	http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/feed/index.html	(from http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/)
15:00:46	2256/2256	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:45%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1395	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1395.json	(from http://encompass.red-gate.com/event/lgbtq-quiz-night-social/)
15:00:46	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:46%20GMT	http://encompass.red-gate.com/?p=1353	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/index2193.html	(from http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/)
15:00:46	1015/1015	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:46%20GMT	http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/indexedf3.html	(from http://encompass.red-gate.com/event/queerying-past-afternoon-alternative-archaeology-wine/)
15:00:46	2312/2312	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:46%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Fqueer-variety-show%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embed3a5f.json	(from http://encompass.red-gate.com/event/queer-variety-show/)
15:00:46	890/890	---M-Z	200	added ('OK')	application/rss+xml	etag:%22adc9bd5c6137a80678895c4e213149a6-gzip%22	http://encompass.red-gate.com/event/lgbtq-quiz-night-social/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/lgbtq-quiz-night-social/feed/index.html	(from http://encompass.red-gate.com/event/lgbtq-quiz-night-social/)
15:00:46	2601/2601	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:46%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1309	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1309.json	(from http://encompass.red-gate.com/event/queer-variety-show/)
15:00:46	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:46%20GMT	http://encompass.red-gate.com/?p=1395	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/index33ac.html	(from http://encompass.red-gate.com/event/lgbtq-quiz-night-social/)
15:00:47	862/862	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:47%20GMT	http://encompass.red-gate.com/event/lgbtq-quiz-night-social/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/lgbtq-quiz-night-social/indexedf3.html	(from http://encompass.red-gate.com/event/lgbtq-quiz-night-social/)
15:00:47	869/869	---M-Z	200	added ('OK')	application/rss+xml	etag:%224c1386150975d5295475aa2a7d952642-gzip%22	http://encompass.red-gate.com/event/queer-variety-show/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/queer-variety-show/feed/index.html	(from http://encompass.red-gate.com/event/queer-variety-show/)
15:00:47	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:47%20GMT	http://encompass.red-gate.com/?p=1309	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/indexdc32.html	(from http://encompass.red-gate.com/event/queer-variety-show/)
15:00:47	814/814	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:47%20GMT	http://encompass.red-gate.com/event/queer-variety-show/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/queer-variety-show/indexedf3.html	(from http://encompass.red-gate.com/event/queer-variety-show/)
15:00:48	35334/35334	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/calendar/page/14/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/calendar/page/14/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:48	2305/2305	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Frainbow-cake-sale-2%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embedeba8.json	(from http://encompass.red-gate.com/event/rainbow-cake-sale-2/)
15:00:48	54636/54636	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=14	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/calendar/list/indexaa4b.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
